0.06,0,1000
0.12,0,54.4
0.18,0,61.6
0.24,0,68.8
0.3,4,42.19
0.36,4,82.66
0.42,0,123.59
0.48,0,97.46
0.54,0,104.66
0.6,0,111.86
0.66,0,119.06
0.72,0,126.26
0.78,0,133.46
0.84,0,140.66
0.9,0,147.86
0.96,0,155.06
1.02,0,162.26
1.08,0,169.46
1.14,0,176.66
1.2,0,183.86
1.26,0,191.06
1.32,0,198.26
1.38,0,205.46
1.44,0,212.66
1.5,0,219.86
1.56,0,227.06
1.62,0,234.26
1.68,0,241.46
1.74,0,248.66
1.8,0,255.86
1.86,0,263.06
1.92,0,270.26
1.98,0,277.46
2.04,0,284.66
2.1,0,291.86
2.16,0,299.06
2.22,0,306.26
2.28,0,313.46
2.34,0,320.66
2.4,1,319.4
2.46,0,343.37
2.52,0,342.24
2.58,0,347.2
2.64,0,347.2
2.7,1,338.75
2.76,0,355.53
2.82,0,347.2
2.88,0,347.2
2.94,0,347.2
3,0,347.2
3.06,0,347.2
3.18,4,313.39
3.24,8,312.92
3.3,12,312.45
3.36,14,328.88
3.42,15,337.1
3.48,17,328.53
3.54,18,336.74
3.6,21,319.72
3.66,23,327.82
3.72,23,344.49
3.78,23,344.49
3.84,25,327.58
3.9,27,327.35
3.96,28,335.56
4.02,27,352.35
4.08,28,335.56
4.14,30,326.99
4.2,30,343.66
4.26,31,335.21
4.38,31,351.88
4.44,32,335.09
4.5,33,334.97
4.56,33,343.31
4.62,33,343.31
4.68,34,334.85
4.74,34,343.19
4.8,34,343.19
4.86,34,343.19
4.92,35,334.74
4.98,35,343.07
5.04,35,343.07
5.1,35,343.07
5.16,35,343.07
5.22,35,343.07
5.28,36,334.62
5.34,36,342.95
5.4,35,351.4
5.46,35,343.07
5.52,36,334.62
5.58,37,334.5
5.64,36,351.29
5.7,35,351.4
5.76,36,334.62
5.82,36,342.95
5.88,37,334.5
6,36,342.95
6.06,36,342.95
6.12,37,334.5
6.18,36,351.29
6.24,36,342.95
6.3,36,342.95
6.36,38,326.05
6.42,36,359.62
6.48,36,342.95
6.54,37,334.5
6.6,37,342.83
6.66,37,342.83
6.72,37,342.83
6.78,37,342.83
6.84,36,351.29
6.9,37,334.5
6.96,37,342.83
7.02,37,342.83
7.08,37,342.83
7.14,36,351.29
7.2,37,334.5
7.26,37,342.83
7.32,37,342.83
7.38,36,351.29
7.44,37,334.5
7.5,37,342.83
7.56,37,342.83
7.62,37,342.83
7.68,36,351.29